Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations,__index_level_0__
No creo que haya en el mundo alguien que me dé más asco y sea más subnormal que Dani Rovira.,High,Disparaging,Critical and Offensive,Negative,"asco, subnormal",
"Este cabron está peor que los 1,200 que están por llegar",Medium,Comparative,Informal,Negative,cabron,
Esos comunistas nazis judeo musulmanes creyéndose los reyes de la física,High,"Racist, Discriminatory",Aggressive,Hateful,"comunistas, nazis, judeo, musulmanes",
Tu también Matt Reeves y tus putas ideas pendejas,High,Aggressive,Offensive,Angry,"putas, pendejas",
"Que traigan otro cargamento, necesitamos más pagapensiones son una inversión de futuro.",Low,Neutral,Informative,Positive,pagapensiones,
para vos y todos los trolos panelistas putos de Fox,Medium,Derogatory,Insulting,Negative,"trolos, putos",
Yo soy así puto moro,Medium,Derogatory,Offensive,Disrespectful,"puto, moro",
"Charnego mañana salgo para ir a trabajar,  cosa que tu no sabes lo que es...",Medium,Condescending,Critical,Superiority,Charnego,
"Y a mí qué me importa lo que tú notes, facha?",Medium,Defensive,Confrontational and Insulting,Contemptuous,facha,
"unos vecinos del primero son más rojos y perroflautas que la hostia, les he dejado 6 entradas en el buzón",Medium,Disparaging,Casual and Insulting,Negative,"rojos, perroflautas, hostia",
Pues puede trabajar de carnicero para pagar pensiones,Low,Neutral,Neutral,Neutral,,
"Un cargador escaso de argumentario, parece.",Low,Neutral,Formal,Neutral,escaso,
A Emery se la devuelven por subnormal. PLANTEA A LA PROXIMA UN BUEN PARTIDO,Medium,Confrontational,Sarcastic and Insulting,Negative,subnormal,
O sea que ahora la mafia tiene viajes de ida y vuelta,Low,Neutral,Casual,Neutral,mafia,
"A su vez que no es lo mismo ser cristiano que catolico , pero tu eres CATETA.",High,Condescending,Critical,Derogatory,CATETA,
"Olé sus huevos morenos (los del periodista). Si hablas de expulsar del pais a alguien, porque omites la nacionalidad.",Medium,Defensive,Sarcastic,Aggressive,expulsar,
"#CeseDefinitivoCPCCS estos miserables su salida del CPCCS va hacer mas rápido q su puta nombramiento,",High,Aggressive,Vulgar and Offensive,Angry and Disrespectful,"miserables, puta",
Ahora un nazi en RTVE #lahoraespinosadelosmonteros,High,Aggressive,Tense and Confrontational,Hostile,nazi,
"muy ateos que sois pero bien que os gustaría ser dios, eh? malditos hipocritas",High,Accusatory and Dismissive,Sarcastic and Insulting,Derogatory,"malditos, hipocritas",
"Hostia, como la quimioterapia, nos hace daño, pero si aguantamos lo suficiente, podemos vencer al cáncer.",Low,Hopeful,Supportive,Positive,"Hostia, daño",
ESPAÑA CORRUPPCIÓN Derecha PP fascista franquista gobernando con 30% en España no entiende porqué Cataluña quiere Independencia y República.,High,Accusatory,Aggressive and Insulting,Hostile,CORRUPPCIÓN fascista franquista,
"Pues a mi me recuerda tus diversas lesiones graves y me descojono, subnormal. Acabado.",High,Mocking,Insulting and Derogatory,Contemptuous,"lesiones graves, descojono, subnormal, acabado",
"Mientras tanto, la gente matandose a currar como cabrones para vivir en una puta colmena",High,Frustrated,Harsh and Vulgar,Angry,"matandose, cabrones, puta",
porque no tenéis a un subnormal por entrenador.,Medium,Critical,Offensive,Contemptuous,subnormal,
"Quién te querría besar a ti, mongolo.",High,Insulting,Derogatory,Derisive,mongolo,
"que asco de gente dios, que busquen el significado de hembrismo y de feminismo y luego hablan",Medium,Disgusted,Critical,Negative,asco,
"Los políticos lo toleran todo lo que no va contra ellos, baste fijarse en Iglesias, con su casoplón.",Low,Neutral,Informative,Critical,"toleran, contra, casoplón",
Aquí va una canción para todos y cada uno de los putos fascistas del PP… Fuck You de Lily Allen,High,Aggressive,Vulgar and Offensive,Angry,"putos, Fuck You",
"Está viniendo lo mejor de cada casa para mejorar el país, sin duda alguna.",Low,Positive,Encouraging,Optimistic,,
Que cabron el que publicó la foto de los finalistas de master chef😡😂😂,Medium,Mocking,Casual,Negative,cabron,
qué bonito es ver a fachas rabiar dios me ahogo,High,Mocking,Insulting,Hostile,"fachas, rabiar",
Cuánto facha de mierda en una mención voy a vomitar,High,Disgust,Vulgar and Insulting,Hostile,"mierda, vomitar",
Pero sois periodistas o idiotas? Aún estando en catalán pone Franquismo!,High,Confrontational,Insulting and Provocative,Hostile,"idiotas, Franquismo",
hay que ser hp para robar un zumo en alta mar.,Medium,Casual,Casual with vulgar term,Negative,"hp, robar",
La última mamarrachada de EA es tremenda.,Low,Neutral,Informative,Criticism,mamarrachada,
"Es su cultura y hay que respetarla. Un abrazo desde Ronda, Málaga.",Low,Respectful,Polite,Positive,,
¿Van a seguir con el mismo tema de los comediantes mediocres?,Low,Questioning,Neutral,Inquisitive,mediocres,
no te sale bien el catalán prueba en francés... chupala hijo puta 😂😂😂,Medium,Sarcastic,Casual and Offensive,Derogatory,"chupala, hijo puta",
Antes me como un whopper que decir algo bueno del subnormal ese,Medium,Disparaging,Casual and Insulting,Negative,subnormal,
Daros prisa. La memoria histórica de Carmena cambiará el nombre por el de cualquier payaso podemita,Medium,Aggressive,Critical and Disrespectful,Negative,payaso podemita,
"Ya venís en manada a quejaros, anda a tomarte una mArandina.",Medium,Dismissive,Sarcastic and Condescending,Contemptuous,"manada, quejaros",
son sus costumbres y hay que respetarlas..,Low,Respectful,Neutral,Positive,,
"Mamona, tengan la mierda que tengan ellos, lo nuestro sigue siendo igual de lamentable",High,Dismissive,Confrontational and Insulting,Hostile,"Mamona, mierda, lamentable",
El dia que morais todos los fachas podre palmarla tranquilo ...,High,Hostile,Aggressive and Offensive,Contemptuous,"morais, fachas",
No he leído a una sola mujer quejarse de twitt solo a los de siempre....los machirulos fachas ...que asquito,High,Dismissive,Confrontational,Contemptuous,"machirulos, fachas, asquito",
"Aquí Piatti que no metía un puto gol y en el Español, lleva ya unos cuantos, mamón. ☹️",Medium,Confrontational,Vulgar and Aggressive,Angry,"puto, mamón",
"Ahora pides asilo político HDP, ahora las escorias oficialistas pidiendo asilo que tal.",High,Confrontational and Insulting,Aggressive,Derogatory,"HDP, escorias",
"Encima cacho parguela te pones de gilipollas con ella, subnormal",High,Insulting and Condescending,Vulgar and Offensive,Contemptuous,"cacho, parguela, gilipollas, subnormal",
"Que alguien se lo impida, que todavía les quedan pensiones por pagar.",Low,Neutral,Formal,Concern,impida,
y el drama con el guiri de mierda de seamus en eurovision super living,Low,Casual,Colloquial,Neutral,"drama, mierda",
"Cada vez, la situación del país está en la mierda la de mierdísima #FreddyGuevaraTeCAGASTE",High,Dismissive,Vulgar and Insulting,Hostile,"mierda, mierdísima, cagaste",
Ghostt subnormal se nota a la legua que eres tú el ... — Mira como llora el puto bizco,High,Derogatory,Insulting and offensive,Malicious,"subnormal, puto, bizco",
tu respuesta dice que no crees que el catalán tendría que ser de obligatorio entendimiento. Eres un puto…,High,Confrontational,Insulting,Hostile,puto,
"Lo trataré con el trato maricon, penca, discriminatorio como trató a varios de mis compañeros 😒 VIEJO CULIAO.",High,Aggressive,Derogatory and Insulting,Hostile,"maricon, penca, discriminatorio, VIEJO CULIAO",
"En ESPAÑA tenemos un Gobierno PSOE-UP, asi que simplemente estamos DISFRUTANDO LO VOTADO.",Low,Neutral,Informative,Neutral,DISFRUTANDO LO VOTADO,
Hay gente dándose cuenta de que Hamilton es imbécil en pleno 2020.,Low,Informative,Neutral,Negative,imbécil,
No los vio el open arms,Low,Neutral,Informal,Neutral,none,
"Me gustaría saber lo que tú harías, si te llegará a pasar a ti. Eres el típico charlatán de feria.",Medium,Inquisitive,Assertive,Critical,charlatán,
Porque usted es un hombre de bien y con valores. Esos otros son alimañas y 0,Low,Respectful,Formal and Polite,Positive,alimañas,
"Jajajajaja turco, subnormal, cuñado e español madremía.... PLENOOOO",High,Mocking and Insulting,Derogatory and Offensive,Derogatory,subnormal,
"Lo mejor, es que ya lo tenemos aquí y tenemos que mantenerlo en la cárcel, gracias",Low,Neutral,Formal,Appreciative,cárcel,
Daniel has muerto o algo no te veo twittear como un subnormal,High,Insulting,Aggressive,Disrespectful,"muerto, subnormal",
"Pinche gobierno de mierda, no ayudan pero como estorban HDSPM.",High,Angry,Expletive-laden,Negative,"Pinche, mierda, estorban, HDSPM",
Muchas veces en sus carceles sobornan a gente y viven como reyes.,Low,Neutral,Informative,Neutral,sobornan,
Cómo estará el país para que ni los moros quieran estar,Low,Inquisitive,Casual,Curious,moros,
"Ah, porque se va y viene la hija puta. Están haciendo el subnormal apagando y encendiendo",High,Aggressive,Vulgar and Insulting,Hostile,"hija puta, subnormal",
"Son los mismos miserables de siempre, porque sera que siempre votan negativo a este tipo de noticias.......",Medium,Negative,Critical,Disdain,"miserables, negativo",
"Una paguita para ese hombre, que se ve con ganas de integrarse y aceptar nuestras reglas/costumbres.",Low,Supportive,Positive and Inclusive,Welcoming,paguita,
"Eso no lo sabemos, puede que vinieran de pequeños. Si es asi, expulsión.",Low,Neutral,Formal,Uncertain,expulsión,
#YoSoyAnonymousUE basta de absurda represión victimista por parte del Estado Fascista,Medium,Defensive,Political,Angry,"absurda, represión, victimista, Estado Fascista",
Ahora tampoco respetaréis la democracia fascistas de mierda???,Medium,Confrontational,Vulgar and Insulting,Angry,"fascistas, mierda",
Y los otros haciéndose los traumados cuando no dudarían en hacer eso mismo,Low,Dismissive,Casual,Criticism,traumados,
"al guadalquivir primooo! Sigue insultando por internet, que eres un gitano falso.",High,Defensive,Derogatory and Offensive,Aggressive,"insultando, gitano falso",
Pero que mierda estas hablando subnormal de los cojones MAMAAAAAAAA GORDOOOOOOOO.,High,Aggressive,Insulting and Offensive,Hostile,"mierda, subnormal, cojones, GORDOOOOOOOO",
"En España los invasores tienen más derechos que los españoles, pura mierda trae Ebrard y López.",High,Angry,Confrontational,Negative,"invasores, mierda",
"La historia reconocerá que fue el más pelele , inepto e hijo de puta presidente de la historia .",High,Contemptuous,Derogatory and Offensive,Negative,"pelele, inepto, hijo de puta",
"lástima que sea un fascista, un machista, un subnormal y odie Catalunya",High,Critical,Negative and Insulting,Hostile,"fascista, machista, subnormal, odie",
Tanto que hablan de Pinochet y los gringos y estos hijueputas son iguales o peores.,Medium,Critical,Strong and Confrontational,Negative,hijueputas,
Blocs y a otra cosa No le des publicidad al monguer,Low,Dismissive,Casual,Neutral,monguer,
Puto perroflautas que man rayao el mercedes,High,Insulting,Aggressive and Offensive,Contemptuous,"puto, perroflautas, rayao",
Puta prensa deportiva saliendo en defensa de un puto ultraderechista,High,Negative,Aggressive and Insulting,Contemptuous,"Puta, puto",
Asumen tu género por tu apariencia física. Son unos fascistas transfobos y homófobos.,High,Accusatory and Hostile,Confrontational and Insulting,Angry and Judgmental,"fascistas, transfobos, homófobos",
... — putos rojos de mierda macho,High,Insulting,Vulgar and Offensive,Aggressive,"putos, mierda",
"Qué bien. Hay que ver con los ingenieros, doctores y demás cracks que nos llegan...",Low,Positive,Neutral,Approval,ninguno,
"La democracia española y la interpretación libre de sus leyes en manos de fascistas. 6D, nada que celebrar.",Medium,Critical,Serious and Critical,Disapproval,fascistas,
"Tu eres subnormal, no refinado, no confundas términos.",High,Condescending,Insulting and Dismissive,Contemptuous,subnormal,
"Sí, para que lo suelten a la media hora. Alguien que hace eso sólo aprende de una manera.",Low,Casual,Neutral,Skeptical,"hace, sólo, manera",
"Lagarder ya era un puto subnormal, solo que hoy quiere que quede patente.",High,Insulting,Vulgar and demeaning,Derogatory,"puto, subnormal",
Venga silenciame ya verás tú cuánto me preocupo SUBNORMAL,High,Dismissive,Confrontational and Insulting,Hostile,SUBNORMAL,
"Muy despreciados,siiii,pero todos vestidos de alta costura española o extranjera como la derechona burguesa verdad,…",Low,Sarcastic,Informal,Mocking,"despreciados, derechona",
Son sus costumbres y hay que respetarlas,Low,Respectful,Neutral,Neutral,none,
"No busquéis más, ya tenemos al tonto del hilo.",Low,Dismissive,Casual,Mocking,tonto,
Con el Zumo no se juega.,Low,Serious,Neutral,Cautious,,
No te acerques que me tiznas le dijo la sarten al cazo... 😂 Los más fascistas de la izquierda,Low,Humorous,Casual,Sarcastic,fascistas,
"Pero pedazo de subnormal, prefieres a Charlotte antes que Lana.",High,Confrontational,Insulting,Hostile,subnormal,
"Te lo llama hasta tu cuñado. Pero no sufras, ¿quién no tiene un mongolo en la familia?",Medium,Dismissive,Casual,Insensitive,mongolo,
"Pues un héroe el que se bebió el zumo, de no haberlo hecho este estaría vendiendo corbatas por los bares",Low,Praising,Colloquial,Positive,vendiendo corbatas por los bares,
Me acojona ver a la derecha rancia pidiendo #BoicotALosGoya Más incultura seguirá formando fascistas como ellos... ➕Cine ➖Toros #Españistán,High,Angry,Negative and Aggressive,Contemptuous,"acojona, rancia, incultura, fascistas, Españistán",
🚨🚨 Los okupas causan graves disturbios en Santiago y el alcalde 'podemita' les respalda ➡️  ASQUEROSO,High,Negative,Confrontational and Aggressive,Disgust and Contempt,"graves disturbios, podemita, ASQUEROSO",
te has equivocado de captura subnormal,High,Insulting,Confrontational,Aggressive,subnormal,
Pero el calentamiento global son COSAS DE HIPPIES Y PERROFLAUTAS,Medium,Dismissive,Casual and Insensitive,Contemptuous,COSAS DE HIPPIES Y PERROFLAUTAS,
Tú debes de ser un facha costalero del PPodrido.,Medium,Condescending,Insulting,Disdainful,"facha, PPodrido",
La derechona sale a dar una vuelta por Barcelona. vía,Low,Neutral,Informative,Neutral,derechona,
Que ganas de que metan al peluo en la carcel por subnormal😆😆😆,High,Negative,Confrontational and Insulting,Hostile,subnormal,
"Mejores Autopistas?, Ese mancito Gómez dónde vive?, Seguro es un sureñito Petrista 😕🤘",Medium,Mocking,Sarcastic,Derogatory,"mancito, sureñito",
ya esta el subnormal de luis enrique jodiendome apuestas sin poner a suarez,High,Accusatory,Aggressive,Angry,"subnormal, jodiendome",
"No a los politicos de mierda, nunca mas.",Medium,Negative,Strong and Disrespectful,Angry,mierda,
🚨🚨 Los okupas causan graves disturbios en Santiago y el alcalde 'podemita' les respalda ➡️  SON GENTUZA,Medium,Accusatory,Provocative,Derogatory,"disturbios, gentuza",
imagina y todo fue por entrar con una maleta en un museo. Putos nazis,High,Hostile,Strong and Offensive,Angry,Putos nazis,
Expulsado #Guillermo Un mamarracho Herrera 💩,High,Insulting,Confrontational,Hostile,"mamarracho, 💩",
"Llévenlos a prisión, y una vez paguen la condena enviarlos a su país por deportación.",Medium,Authoritative,Directive,Impersonal,"prisión, condena, deportación",
Otro españolazo fascista coaccionando al pueblo catalán secesionista.,High,Accusatory,Aggressive and derogatory,Hostile,"españolazo, fascista, coaccionando",
¿Y este subnormal quién es?,High,Disdainful,Insulting,Disrespectful,subnormal,
En la puta casa del chaquetero de Aliaga los tendrían que poner,High,Derogatory,Insulting and Disrespectful,Negative,"puta, chaquetero",
Estas elecciones les van a venir de perlas a los fachas de VOX.,Medium,Sarcastic,Disparaging,Contemptuous,fachas,
"Totalmente de acuerdo con la diputada, a esos cáfres asquerosos que no los vayan a dejar devolver a Bogotá.",High,Hostile,Confrontational,Negative,"cáfres, asquerosos",
Seguro que era de pera-piña. Es el único por el que yo mataría.,Low,Casual,Neutral,Neutral,mataría,
vete a un cajero mamon,Low,Dismissive,Informal,Negative,mamon,
Ya empecé con la depresión de mierda,Medium,Negative,Casual,Sadness,mierda,
cuidado con estos conspiradores de mierda,High,Threatening,Aggressive and Dismissive,Angry and Distrustful,mierda,
Qué mierda esa zozobra previa a los recortes de personal.,Low,Negative,Informal,Frustration,mierda,
ya me han venido los 4 fachas de turno a tocarme los cojones,High,Aggressive,Vulgar and Offensive,Angry,"fachas, cojones",
Quién es este subnormal y por qué ha soltado semejante subnormalez?,High,Confrontational,Insulting,Hostile,"subnormal, subnormalez",
Qué peste a culé esta pillando la afición madridista...,Medium,Disdainful,Sarcastic,Contemptuous,peste,
"Pues si es así, que zorras que sois.",Medium,Condescending,Provocative,Contemptuous,zorras,
Cuando alguien intenta manipular de manera tan burda lo que provoca es asco. Miratelo.,Medium,Disgust,Assertive,Contemptuous,"manipular, burda, asco",
"No pasa nada, él es el mas preparado y el mas valiente que ya lo decia la abuela Carmena.",Low,Positive/Supportive,Encouraging,Supportive,,
"Con Mokus y Fajardo, hay estos políticos de mierda",Medium,Negative,Derogatory,Disdain,mierda,
"Mano, puto subnormal, dos veces te lo he tenio que repetir",High,Aggressive,Insulting,Derogatory,"puto, subnormal",
"Árbitro de mierda, Conmebol de mierda.",High,Insulting,Vulgar,Angry,mierda,
Es asombroso el nivel de estupidez-robotización del adoctrinamiento progre.,Medium,Critical,Formal with strong negative undertone,Disdainful,"estupidez, robotización, adoctrinamiento, progre",
"es que no lo eres, es decir, qué más da ser hetero, el problema está en ser retrasado xd",High,Dismissive,Insulting and Offensive,Derogatory,retrasado,
Los mas valientes. Haz que pase!,Low,Encouraging,Supportive,Positive,None,
"Y lo bien que les va siendo fachas, que no es gratis",Medium,Critical,Sarcastic,Negative,fachas,
"Culpa de las mafias y lo progres follarefugees que hacen efecto llamada, nos quedamos sin 57 pensiones",High,Defamatory,Aggressive and Offensive,Angry,"mafias, follarefugees",
-Una directiva fracasa deportivamente -Unos monguers los votan para que sigan mandando -Los monguers se sorprenden d q fracasen #estapasando,Medium,Negative and Critical,Confrontational and Blaming,Disapproval,"fracasa, monguers, fracasen",
"en una cárcel española cuestan dinero, en su puta casa en Marruecos no cuestan ni un duro.",High,Derogatory,Profane and Aggressive,Contemptuous,puta,
"ufff eso es como construir puertas lógicas con legos; se puede, pero estás haciendo el imbécil.",Low,Sarcastic,Casual,Mocking,imbécil,
"No, lo que parece de ese siglo es su puta bazofia de programa.",High,Dismissive,Insulting,Negative,"puta, bazofia",
Ni caso a los gilipollas como el  es un fascista de mierda,High,Confrontational and Insulting,Vulgar and Offensive,Negative,"gilipollas, fascista, mierda",
Pero que pedazo de retrasada,High,Insulting,Confrontational,Derogatory,pedazo de retrasada,
"Por cierto, donde anda metido el gusano comunista ese?",Medium,Confrontational,Aggressive,Hostile,gusano,
@ promosquevienen no se vayan de viaje de egresados con upgrade xq son la peor verga que hay:)),Medium,Dismissive,Sarcastic and Insulting,Negative,"peor, verga",
"Y como siempre los nacotes sin educación diciendo groserías, son los que están en contra de este gran gobierno respetable.",Medium,Accusatory,Disparaging and Judgemental,Critical,"nacotes, sin educación, groserías",
Está claro que el lobby proxeneta está bien organizado 👿👿,Medium,Negative,Critical,Disapproval,proxeneta,
Conclusión: Er Benni era un cabrón facha que ayudó a Trum,Medium,Accusatory,Informal and derogatory,Negative,"cabrón, facha",
jaja ok andate con la zorra esa chau olvidate de mi :),High,Disrespectful,Insulting and dismissive,Hostility and disrespect,"zorra, olvidate",
PAMBISITOS dejen de responder a subnormales de mierda como éste.,High,Harsh,Insulting and Derogatory,Contemptuous,"mierda, subnormales",
"Tiene que ser fake, no me jodas. Jamás volverían a sus países.",Low,Dismissive,Informal,Skeptical,"fake, jodas, jamás",
a ti no catalán cabron jajaja! Esta champions es vuestra y del bayer xd,Medium,Mocking,Insulting,Mockery,cabron,
"Que algunos saquéis la bilis contra mi 😍😍 jajajajaja , monguers y gordos ...",Medium,Mocking,Sarcastic and Insulting,Contemptuous,"bilis, monguers, gordos",
Le han dado por lo que habrá robado antes y por lo que robará cuando salga del hospital.,Low,Neutral,Formal,Neutral,"robado, robará",
Ve na cuando habla Mazzoleni que puta,High,Derogatory,Vulgar and Offensive,Contemptuous,puta,
"Yo me quiero escapar también, dan paguita al llegar?",Low,Curious,Informal,Neutral,paguita,
"Pues súbete tu a repararlo, maricón",High,Confrontational,Insulting,Hostile,maricón,
Habla en español catalán de mierda.,High,Insulting,Rude and Offensive,Derogatory,mierda,
Y ahora me veo y parezco un Trump supporter. Putos nazis.,High,Confrontational,Aggressive and Insulting,Hostile,Putos nazis,
"Origen patológico , delincuencial , usurpante , ilegal resultado delicuncial usurpante y patológico",High,Accusatory,Formal,Negative,patológico delincuencial usurpante ilegal,
"Soy bioquímico y estoy trabajando para el Gobierno de Navarra... ánimo, puto subnormal.",High,Insulting,Profane,Hostile,puto subnormal,
"Menudos gilipollas. Como no, tenían que ser los guardaespaldas de la nazi de Le Pen...",High,Disrespectful,Insulting and derogatory,Angry,"gilipollas, nazi",
#VivaElCineEspañol porque me gusta y por patriotismo. A ver si os enteráis pedazo de fachas.,Medium,Aggressive,Nationalistic and Insulting,Negative,fachas,
Hacete cargo forro de mierda,High,Insulting,Vulgar,Aggressive,"forro, mierda",
"Estos críos.... Qué pillastres..... Son unos terremotos los angelitos... Qué energía la de estos chicos... El futuro, son el futuro.....",Low,Playful,Informal,Positive,terremotos,
Esa fascista JAMAS sera presi de !😂😂😂,High,Derogatory,Aggressive and Offensive,Hateful,"fascista, JAMAS",
"Costumbres tercermundistas que disfrutamos ya en Europa gracias a nuestros políticos progres, disfruten lo votado.",Medium,Sarcastic,Critical,Critical of politicians and their choices,"tercermundistas, políticos progres",
Lo hipócritas que son algunos con el tema de ladder no tiene tamaño AJAJAJ Vaya hipócritas de mierda ;),High,Mocking and Condescending,Insulting and Sarcastic,Negative,"hipócritas, mierda",
"Acojonante lo de la progresía, pagamos una barbaridad por alojar escoria mejor con unos servicios que ya quisieran nuestros mayores",High,Confrontational,Derogatory and Insulting,Negative,"acojonante, barbaridad, escoria",
Me cuesta creer que haya alguien igual de subnormal que Dalas.,Medium,Disbelief,Negative comparison,Negative,subnormal,
Como para no votar a Vox. Hijos de puta 300.000 con la que se nos vien encima.,High,Aggressive,Vulgar and Offensive,Angry,Hijos de puta,
"Pues si, es una puta mierda, DEP por ellos.",Medium,Dismissive,Vulgar,Negative,"puta, mierda",
"pero este tio es un puto subnormal, o que le pasa?",High,Aggressive,Insulting,Negative,"puto, subnormal",
Hoy prefieren el arbitraje manual. La mano negra del puto alemán ladrón.,High,Aggressive,Derogatory and Offensive,Hostile,"mano negra, puto, ladrón",
"este chico es subnormal, confirmed",Medium,Derogatory,Negative,Insulting,subnormal,
Es lo más seguro que pase eso didac puto catalán,High,Insulting,Derogatory and Offensive,Contemptuous,puto,
Aprende el significado de mayoría parlamentaria subnormal,Low,Informative,Formal,Neutral,subnormal,
"Con periodistas de mierda, con empleados de mierda.",High,Negative,Insulting,Hostile,mierda,
Me rio de ti jajajajajajjaja fascista a la cueva,High,Mocking,Aggressive and Insulting,Derogatory,fascista,
"Llegó la racista maleducada, odias mi castellano al igual que a España y los españoles, supremacista arruinada y avergonzada",High,Aggressive,Insulting and Confrontational,Hostile,"racista, maleducada, odias, supremacista, arruinada, avergonzada",
Por 'Crush' os referís a putas chonis?,High,Disrespectful,Offensive,Derogatory,putas chonis,
"Que bronca cuando estás jugando al FIFA y ponen pausa para responder los msj, que trolo man",Medium,Complaining,Casual,Frustration,"bronca, trolo",
Pobre tarado que no sabes lo que dices .... pobre tarado,Medium,Insulting,Condescending,Contemptuous,tarado,
Que manera de perder la cabeza por un zumo.,Low,Neutral,Straightforward,Neutral,perder la cabeza,
es a cuartos de final subnormal,Low,Neutral,Casual,Neutral,subnormal,
